98 1351
1 34 54
2 42 66
3 92 18
4 49 66
5 10 69
6 84 45
7 23 72
8 90 6
9 97 48
10 23 39
11 16 78
12 56 3
13 77 51
14 38 84
15 79 57
16 93 6
17 62 57
18 2 24
19 85 30
20 10 54
21 41 24
22 34 75
23 40 42
24 9 54
25 97 21
26 18 27
27 42 57
28 88 33
29 83 72
30 73 57
31 75 21
32 1 66
33 59 21
34 7 21
35 88 45
36 68 81
37 87 36
38 6 66
39 25 48
40 84 9
41 4 18
42 14 42
43 12 18
44 41 9
45 38 72
46 50 63
47 20 27
48 52 18
49 3 48
50 6 9
51 84 72
52 20 36
53 43 51
54 96 72
55 86 63
56 70 12
57 51 42
58 80 21
59 89 12
60 54 24
61 42 69
62 32 72
63 60 81
64 2 69
65 86 75
66 85 39
67 23 15
68 47 3
69 18 48
70 42 48
71 2 48
72 12 39
73 92 75
74 26 60
75 9 57
76 58 39
77 13 48
78 27 75
79 6 15
80 88 54
81 19 72
82 78 18
83 16 21
84 25 78
85 37 84
86 19 48
87 14 36
88 45 51
89 91 48
90 3 42
91 65 21
92 72 78
93 83 9
94 83 24
95 31 6
96 42 54
97 24 6
98 53 39
66 83 9
69 41 63
66 51 73
30 93 76
48 50 59
30 21 19
12 47 9
39 86 9
21 61 72
66 44 18
78 3 25
45 90 5
30 45 58
69 31 36
63 16 35
9 42 31
54 32 39
66 36 12
3 90 26
78 25 71
48 16 24
60 51 7
18 21 37
15 17 27
72 4 17
15 45 32
63 27 16
54 39 35
42 87 16
96 35 1
54 9 11
1 74 8
75 52 76
21 4 13
3 54 61
66 55 64
90 57 45
48 88 71
15 50 10
18 77 26
78 87 24
9 16 80
81 52 48
33 58 20
3 24 61
39 28 28
60 49 56
72 95 66
15 36 13
60 88 68
1 65 9
84 28 76
51 27 82
39 83 66
45 79 19
36 71 64
96 47 11
12 29 44
93 44 7
54 31 69
42 3 76
78 85 4
48 31 63
39 48 12
1 89 25
75 2 21
54 82 40
15 92 31
30 45 21
78 94 69
48 58 33
69 66 54
9 80 37
87 50 27
48 95 55
1 13 31
36 83 75
93 8 70
87 54 33
48 13 51
3 21 57
54 71 80
24 80 32
21 51 9
45 78 7
90 22 73
75 30 57
18 40 15
24 34 64
39 73 63
78 14 71
42 79 37
12 16 50
24 57 58
3 4 2
6 44 10
54 32 14
6 70 4
6 43 35
21 85 70
48 32 45
3 50 68
30 15 18
6 10 65
78 85 45
84 60 2
30 8 45
30 54 78
60 32 71
60 1 40
81 35 79
15 9 20
45 3 1
51 54 21
3 52 58
27 97 26
78 37 33
90 84 64
84 5 44
18 74 43
57 34 8
39 74 12
39 75 50
66 54 31
84 34 45
24 38 64
33 69 63
6 24 37
81 75 1
1 6 52
27 69 55
66 50 27
21 39 63
45 87 11
33 42 2
36 52 24
30 92 38
48 22 39
12 91 58
93 22 69
60 79 82
51 52 22
42 69 60
60 89 75
93 50 12
75 66 19
51 29 62
21 3 72
6 80 11
12 13 12
1 14 7
57 15 45
24 67 9
66 92 32
24 95 33
63 67 33
90 69 60
66 32 5
72 42 70
3 36 43
45 66 66
57 75 39
24 23 53
6 48 2
72 92 23
69 49 15
45 37 9
84 30 26
24 50 59
42 84 77
18 78 73
81 1 40
15 38 71
72 24 12
27 13 49
21 51 53
78 88 67
60 8 26
18 87 28
1 47 48
72 82 30
12 56 49
18 46 7
6 93 35
75 8 74
96 55 52
24 70 56
39 71 53
12 38 40
27 59 31
54 21 58
60 24 52
81 4 23
6 11 81
42 93 47
78 76 20
75 20 37
81 98 79
18 79 8
24 70 75
48 61 43
51 53 63
54 28 40
27 10 69
54 27 28
72 95 19
6 1 68
90 80 29
93 94 62
63 41 33
39 31 61
